Key,Date,Day,AvailableTime,AirScore,WeatherScore,Dorm,Distance(m)
H2,2019-05-01,Wednesday,1964.5,1,2,0,NA
H2,2019-05-02,Thursday,NA,3,2,0,NA
H2,2019-05-07,Tuesday,NA,1,5,0,NA
H2,2019-05-08,Wednesday,1964.5,1,3,0,NA
H2,2019-05-13,Monday,2453,NA,1,0,258.0881473
H3,2019-04-15,Monday,4691,1,5,0,258.0881473
H3,2019-04-16,Tuesday,5433.6,1,2,0,774.9080656
H3,2019-04-17,Wednesday,10174,1,4,0,504.6236985
H3,2019-04-18,Thursday,5779.75,1,1,0,774.9080656
H3,2019-04-22,Monday,4691,1,2,0,258.0881473
H3,2019-04-23,Tuesday,5433.6,2,1,0,774.9080656
H3,2019-04-24,Wednesday,10174,1,1,0,258.0881473
H3,2019-04-25,Thursday,5779.75,1,1,0,774.9080656
H3,2019-04-29,Monday,4691,1,1,0,258.0881473
H3,2019-04-30,Tuesday,5433.6,1,2,0,420.9233811
H3,2019-05-01,Wednesday,10174,1,2,0,258.0881473
